PO_ID,Line_Number,Item_Class,Item_Family,ItemType,Manufacturer,Item_Family_Name,Quantity,Unit_MSRP,Unit_Negotiated,Total_Spend,Total_Savings,Warranty_Years,Warranty_End_Date_Line,Term_Months,Subscription_End_Date,Contract_ID,School_ID,School_Name,District_ID,District_Name,BOCES_Region
91000001,1,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,17,790.07,581.58,9886.86,3544.33,3.0,2024-01-18,,,CT-88000001,5101.0,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000001,2,Hardware,Printing,Printer,HP,LaserJet Pro M404dn,4,1735.8,1566.69,6266.76,676.44,3.0,2024-01-18,,,CT-88000009,5102.0,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000001,3,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,61,4680.56,3529.4,215293.4,70220.76,3.0,2024-01-18,,,CT-88000001,5102.0,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000002,1,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,2133,,12.18,25979.94,,,,12.0,2025-08-08,CT-88000002,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000002,2,Hardware,Endpoint,Laptop,Dell,ThinkPad T14 Gen 4,135,1760.63,1531.5,206752.5,30932.55,4.0,2025-04-05,,,CT-88000008,5102.0,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000002,3,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,2133,,12.18,25979.94,,,,12.0,2025-08-08,CT-88000002,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000002,4,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,2133,,12.18,25979.94,,,,12.0,2025-08-08,CT-88000002,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000003,1,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,265,,15.24,4038.6,,,,36.0,2024-12-24,CT-88000001,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000003,2,Hardware,Endpoint,Laptop,Dell,ThinkPad T14 Gen 4,77,4074.45,3049.96,234846.92,78885.73,4.0,2025-07-24,,,CT-88000008,5103.0,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000003,3,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,,11277.46,11277.46,,,,36.0,2027-11-29,CT-88000004,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000003,4,Hardware,Endpoint,Laptop,Dell,EliteBook 840 G9,120,2657.59,2263.78,271653.6,47257.2,4.0,2025-07-24,,,CT-88000008,5103.0,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000003,5,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,265,,15.24,4038.6,,,,36.0,2024-12-24,CT-88000001,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000004,1,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,85,5071.51,4617.93,392524.05,38554.3,5.0,2026-10-17,,,CT-88000001,5102.0,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000004,2,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,,11277.46,11277.46,,,,36.0,2027-11-29,CT-88000004,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000004,3,License,MDM,Jamf School,Jamf,JAMF-SCH,398,,15.91,6332.18,,,,12.0,2025-06-20,CT-88000006,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000004,4,License,MDM,Jamf School,Jamf,JAMF-SCH,398,,15.91,6332.18,,,,12.0,2025-06-20,CT-88000006,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000004,5,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,70,5185.07,3631.44,254200.8,108754.1,5.0,2026-10-17,,,CT-88000001,5102.0,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000005,1,License,Security,CrowdStrike Falcon,CrowdStrike,CS-FALCON,1673,,11.01,18419.73,,,,12.0,2026-12-11,CT-88000003,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000005,2,Hardware,Endpoint,Laptop,Dell,Latitude 5440,122,3731.35,2681.55,327149.1,128075.6,4.0,2026-01-06,,,CT-88000008,5101.0,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000006,1,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,41,3086.95,2318.64,95064.24,31500.71,5.0,2027-04-17,,,CT-88000001,5101.0,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
91000006,2,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,265,,15.24,4038.6,,,,36.0,2024-12-24,CT-88000001,,,2101,Southern_CSD_2101,Southern Westchester BOCES
91000006,3,Hardware,Display,Monitor,Dell,P2422H,38,3849.47,3460.62,131503.56,14776.3,3.0,2025-04-17,,,CT-88000008,5101.0,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
