Assignment_ID,License_ID,Assignee_Type,User_ID,Asset_ID,Assignment_Start_Date,Assignment_End_Date,Assignment_Status,District_ID,School_ID
70098266,60000267,User,90032031,,2026-03-29,2027-03-29,Active,2119,
70098267,60000268,User,90032121,,2026-03-15,2029-03-15,Active,2119,
70098268,60000268,User,90032882,,2026-03-25,2029-03-25,Active,2119,
70098269,60000268,User,90032445,,2026-03-19,2029-03-19,Active,2119,
70098270,60000268,User,90033367,,2026-03-30,2029-03-30,Active,2119,
70098271,60000268,User,90033128,,2026-03-26,2029-03-26,Active,2119,
70098272,60000268,User,90033642,,2026-03-17,2029-03-17,Active,2119,
70098273,60000268,User,90033082,,2026-03-23,2029-03-23,Active,2119,
70098274,60000268,User,90033588,,2026-03-28,2029-03-28,Active,2119,
70098275,60000268,User,90033037,,2026-03-24,2029-03-24,Active,2119,
70098276,60000268,User,90032659,,2026-04-01,2029-04-01,Active,2119,
70098277,60000268,User,90032980,,2026-03-27,2029-03-27,Active,2119,
70098278,60000268,User,90033712,,2026-03-27,2029-03-27,Active,2119,
70098279,60000268,User,90032532,,2026-03-27,2029-03-27,Active,2119,
70098280,60000268,User,90033615,,2026-04-02,2029-04-02,Active,2119,
70098281,60000268,User,90032983,,2026-03-13,2029-03-13,Active,2119,
70098282,60000268,User,90033554,,2026-03-12,2029-03-12,Active,2119,
70098283,60000268,User,90031996,,2026-03-13,2029-03-13,Active,2119,
70098284,60000268,User,90033620,,2026-03-21,2029-03-21,Active,2119,
70098285,60000268,User,90032258,,2026-03-28,2029-03-28,Active,2119,
70098286,60000268,User,90032691,,2026-03-23,2029-03-23,Active,2119,
70098287,60000268,User,90033071,,2026-04-01,2029-04-01,Active,2119,
70098288,60000268,User,90032863,,2026-04-01,2029-04-01,Active,2119,
70098289,60000268,User,90033897,,2026-03-29,2029-03-29,Active,2119,
70098290,60000268,User,90032778,,2026-03-31,2029-03-31,Active,2119,
70098291,60000268,User,90032373,,2026-03-23,2029-03-23,Active,2119,
70098292,60000268,User,90032611,,2026-03-29,2029-03-29,Active,2119,
70098293,60000268,User,90033682,,2026-03-15,2029-03-15,Active,2119,
70098294,60000268,User,90032864,,2026-03-30,2029-03-30,Active,2119,
70098295,60000268,User,90031973,,2026-04-02,2029-04-02,Active,2119,
70098296,60000268,User,90032742,,2026-03-28,2029-03-28,Active,2119,
70098297,60000268,User,90032993,,2026-03-21,2029-03-21,Active,2119,
70098298,60000268,User,90033084,,2026-03-27,2029-03-27,Active,2119,
70098299,60000268,User,90032238,,2026-04-02,2029-04-02,Active,2119,
70098300,60000268,User,90033175,,2026-03-19,2029-03-19,Active,2119,
70098301,60000268,User,90032468,,2026-03-14,2029-03-14,Active,2119,
70098302,60000268,User,90033300,,2026-04-02,2029-04-02,Active,2119,
70098303,60000268,User,90032950,,2026-04-01,2029-04-01,Active,2119,
70098304,60000268,User,90032943,,2026-03-22,2029-03-22,Active,2119,
70098305,60000268,User,90032789,,2026-03-30,2029-03-30,Active,2119,
70098306,60000268,User,90033096,,2026-03-27,2029-03-27,Active,2119,
70098307,60000268,User,90032060,,2026-03-30,2029-03-30,Active,2119,
70098308,60000268,User,90033723,,2026-03-28,2029-03-28,Active,2119,
70098309,60000268,User,90032478,,2026-03-15,2029-03-15,Active,2119,
70098310,60000268,User,90033213,,2026-03-28,2029-03-28,Active,2119,
70098311,60000268,User,90032883,,2026-03-23,2029-03-23,Active,2119,
70098312,60000268,User,90033471,,2026-03-24,2029-03-24,Active,2119,
70098313,60000268,User,90033280,,2026-03-15,2029-03-15,Active,2119,
70098314,60000268,User,90032341,,2026-03-25,2029-03-25,Active,2119,
70098315,60000268,User,90033179,,2026-04-02,2029-04-02,Active,2119,
70098316,60000268,User,90033649,,2026-03-21,2029-03-21,Active,2119,
70098317,60000268,User,90031965,,2026-03-14,2029-03-14,Active,2119,
70098318,60000268,User,90032317,,2026-03-22,2029-03-22,Active,2119,
70098319,60000268,User,90033711,,2026-03-17,2029-03-17,Active,2119,
70098320,60000268,User,90033867,,2026-03-12,2029-03-12,Active,2119,
70098321,60000268,User,90033434,,2026-03-24,2029-03-24,Active,2119,
70098322,60000268,User,90032143,,2026-03-30,2029-03-30,Active,2119,
70098323,60000268,User,90032349,,2026-03-24,2029-03-24,Active,2119,
70098324,60000268,User,90033657,,2026-03-19,2029-03-19,Active,2119,
70098325,60000268,User,90032291,,2026-03-23,2029-03-23,Active,2119,
70098326,60000268,User,90032626,,2026-03-30,2029-03-30,Active,2119,
70098327,60000268,User,90032931,,2026-03-16,2029-03-16,Active,2119,
70098328,60000268,User,90033718,,2026-03-15,2029-03-15,Active,2119,
70098329,60000268,User,90033432,,2026-03-26,2029-03-26,Active,2119,
70098330,60000268,User,90033174,,2026-03-31,2029-03-31,Active,2119,
70098331,60000268,User,90033834,,2026-03-25,2029-03-25,Active,2119,
70098332,60000268,User,90032630,,2026-03-18,2029-03-18,Active,2119,
70098333,60000268,User,90033622,,2026-03-13,2029-03-13,Active,2119,
70098334,60000268,User,90032787,,2026-03-29,2029-03-29,Active,2119,
70098335,60000268,User,90033841,,2026-03-31,2029-03-31,Active,2119,
70098336,60000268,User,90033113,,2026-03-12,2029-03-12,Active,2119,
70098337,60000268,User,90033665,,2026-03-18,2029-03-18,Active,2119,
70098338,60000268,User,90033628,,2026-03-22,2029-03-22,Active,2119,
70098339,60000268,User,90032970,,2026-03-17,2029-03-17,Active,2119,
70098340,60000268,User,90033142,,2026-03-13,2029-03-13,Active,2119,
70098341,60000268,User,90033854,,2026-03-28,2029-03-28,Active,2119,
70098342,60000268,User,90032345,,2026-03-16,2029-03-16,Active,2119,
70098343,60000268,User,90032925,,2026-03-12,2029-03-12,Active,2119,
70098344,60000268,User,90032604,,2026-03-13,2029-03-13,Active,2119,
70098345,60000268,User,90032193,,2026-03-23,2029-03-23,Active,2119,
70098346,60000268,User,90032807,,2026-03-27,2029-03-27,Active,2119,
70098347,60000268,User,90033714,,2026-03-29,2029-03-29,Active,2119,
70098348,60000268,User,90032395,,2026-04-02,2029-04-02,Active,2119,
70098349,60000268,User,90032150,,2026-03-20,2029-03-20,Active,2119,
70098350,60000268,User,90032683,,2026-03-25,2029-03-25,Active,2119,
70098351,60000268,User,90032085,,2026-03-22,2029-03-22,Active,2119,
70098352,60000268,User,90033012,,2026-03-20,2029-03-20,Active,2119,
70098353,60000268,User,90033154,,2026-04-02,2029-04-02,Active,2119,
70098354,60000268,User,90032826,,2026-03-15,2029-03-15,Active,2119,
70098355,60000268,User,90032081,,2026-04-02,2029-04-02,Active,2119,
70098356,60000268,User,90032954,,2026-03-22,2029-03-22,Active,2119,
70098357,60000268,User,90033597,,2026-03-24,2029-03-24,Active,2119,
70098358,60000268,User,90033805,,2026-03-30,2029-03-30,Active,2119,
70098359,60000268,User,90032087,,2026-03-28,2029-03-28,Active,2119,
70098360,60000268,User,90032556,,2026-03-26,2029-03-26,Active,2119,
70098361,60000268,User,90032412,,2026-03-29,2029-03-29,Active,2119,
70098362,60000268,User,90032340,,2026-03-14,2029-03-14,Active,2119,
70098363,60000268,User,90033372,,2026-03-31,2029-03-31,Active,2119,
70098364,60000268,User,90032366,,2026-03-13,2029-03-13,Active,2119,
70098365,60000268,User,90033059,,2026-03-24,2029-03-24,Active,2119,
70098366,60000268,User,90033008,,2026-03-15,2029-03-15,Active,2119,
70098367,60000268,User,90033895,,2026-03-12,2029-03-12,Active,2119,
70098368,60000268,User,90032473,,2026-03-23,2029-03-23,Active,2119,
70098369,60000268,User,90032934,,2026-03-26,2029-03-26,Active,2119,
70098370,60000268,User,90033249,,2026-04-02,2029-04-02,Active,2119,
70098371,60000268,User,90032917,,2026-03-31,2029-03-31,Active,2119,
70098372,60000268,User,90033742,,2026-03-24,2029-03-24,Active,2119,
70098373,60000268,User,90032002,,2026-03-16,2029-03-16,Active,2119,
70098374,60000268,User,90033017,,2026-03-23,2029-03-23,Active,2119,
70098375,60000268,User,90033277,,2026-04-02,2029-04-02,Active,2119,
70098376,60000268,User,90033427,,2026-04-02,2029-04-02,Active,2119,
70098377,60000268,User,90032217,,2026-03-18,2029-03-18,Active,2119,
70098378,60000268,User,90032063,,2026-04-01,2029-04-01,Active,2119,
70098379,60000268,User,90033246,,2026-03-25,2029-03-25,Active,2119,
70098380,60000268,User,90032447,,2026-03-31,2029-03-31,Active,2119,
70098381,60000268,User,90032607,,2026-03-21,2029-03-21,Active,2119,
70098382,60000268,User,90032825,,2026-03-17,2029-03-17,Active,2119,
70098383,60000268,User,90032260,,2026-03-15,2029-03-15,Active,2119,
70098384,60000268,User,90032586,,2026-03-20,2029-03-20,Active,2119,
70098385,60000268,User,90032464,,2026-03-21,2029-03-21,Active,2119,
70098386,60000268,User,90033741,,2026-03-24,2029-03-24,Active,2119,
70098387,60000268,User,90033077,,2026-03-12,2029-03-12,Active,2119,
70098388,60000268,User,90032528,,2026-03-26,2029-03-26,Active,2119,
70098389,60000268,User,90032905,,2026-04-02,2029-04-02,Active,2119,
70098390,60000268,User,90032693,,2026-03-21,2029-03-21,Active,2119,
70098391,60000268,User,90033835,,2026-03-31,2029-03-31,Active,2119,
70098392,60000268,User,90033490,,2026-03-21,2029-03-21,Active,2119,
70098393,60000268,User,90032597,,2026-03-19,2029-03-19,Active,2119,
70098394,60000268,User,90032014,,2026-03-18,2029-03-18,Active,2119,
70098395,60000268,User,90032325,,2026-04-02,2029-04-02,Active,2119,
70098396,60000268,User,90033446,,2026-03-27,2029-03-27,Active,2119,
70098397,60000268,User,90033140,,2026-03-28,2029-03-28,Active,2119,
70098398,60000268,User,90032663,,2026-03-22,2029-03-22,Active,2119,
70098399,60000268,User,90033449,,2026-03-30,2029-03-30,Active,2119,
70098400,60000268,User,90032229,,2026-03-19,2029-03-19,Active,2119,
70098401,60000268,User,90032378,,2026-04-02,2029-04-02,Active,2119,
70098402,60000268,User,90033396,,2026-03-15,2029-03-15,Active,2119,
70098403,60000268,User,90033144,,2026-03-12,2029-03-12,Active,2119,
70098404,60000268,User,90032423,,2026-03-16,2029-03-16,Active,2119,
70098405,60000268,User,90032209,,2026-03-29,2029-03-29,Active,2119,
70098406,60000268,User,90032426,,2026-03-24,2029-03-24,Active,2119,
70098407,60000268,User,90033186,,2026-03-27,2029-03-27,Active,2119,
70098408,60000268,User,90032052,,2026-03-22,2029-03-22,Active,2119,
70098409,60000268,User,90032357,,2026-03-28,2029-03-28,Active,2119,
70098410,60000268,User,90032723,,2026-03-14,2029-03-14,Active,2119,
70098411,60000268,User,90033672,,2026-03-13,2029-03-13,Active,2119,
70098412,60000268,User,90032755,,2026-03-21,2029-03-21,Active,2119,
70098413,60000268,User,90032529,,2026-03-17,2029-03-17,Active,2119,
70098414,60000268,User,90032810,,2026-03-14,2029-03-14,Active,2119,
70098415,60000268,User,90033273,,2026-03-30,2029-03-30,Active,2119,
70098416,60000268,User,90032487,,2026-03-21,2029-03-21,Active,2119,
70098417,60000268,User,90032550,,2026-03-28,2029-03-28,Active,2119,
70098418,60000268,User,90033072,,2026-03-28,2029-03-28,Active,2119,
70098419,60000268,User,90032221,,2026-03-27,2029-03-27,Active,2119,
70098420,60000268,User,90033210,,2026-04-01,2029-04-01,Active,2119,
70098421,60000268,User,90032354,,2026-03-27,2029-03-27,Active,2119,
70098422,60000268,User,90032310,,2026-03-25,2029-03-25,Active,2119,
70098423,60000268,User,90032606,,2026-03-26,2029-03-26,Active,2119,
70098424,60000268,User,90033426,,2026-03-19,2029-03-19,Active,2119,
70098425,60000268,User,90033486,,2026-03-26,2029-03-26,Active,2119,
70098426,60000268,User,90033581,,2026-03-25,2029-03-25,Active,2119,
70098427,60000268,User,90033699,,2026-03-14,2029-03-14,Active,2119,
70098428,60000268,User,90033237,,2026-03-26,2029-03-26,Active,2119,
70098429,60000268,User,90033040,,2026-04-01,2029-04-01,Active,2119,
70098430,60000268,User,90033125,,2026-03-28,2029-03-28,Active,2119,
70098431,60000268,User,90033248,,2026-03-31,2029-03-31,Active,2119,
70098432,60000268,User,90032018,,2026-03-28,2029-03-28,Active,2119,
70098433,60000268,User,90032985,,2026-04-02,2029-04-02,Active,2119,
70098434,60000268,User,90032656,,2026-03-19,2029-03-19,Active,2119,
70098435,60000268,User,90032885,,2026-03-16,2029-03-16,Active,2119,
70098436,60000268,User,90033507,,2026-03-13,2029-03-13,Active,2119,
70098437,60000268,User,90033773,,2026-03-21,2029-03-21,Active,2119,
70098438,60000268,User,90032279,,2026-03-16,2029-03-16,Active,2119,
70098439,60000268,User,90032995,,2026-03-26,2029-03-26,Active,2119,
70098440,60000268,User,90033734,,2026-03-14,2029-03-14,Active,2119,
70098441,60000268,User,90031987,,2026-04-02,2029-04-02,Active,2119,
70098442,60000268,User,90032845,,2026-03-14,2029-03-14,Active,2119,
70098443,60000268,User,90032326,,2026-03-27,2029-03-27,Active,2119,
70098444,60000268,User,90032280,,2026-03-13,2029-03-13,Active,2119,
70098445,60000268,User,90032186,,2026-03-14,2029-03-14,Active,2119,
70098446,60000268,User,90032583,,2026-03-14,2029-03-14,Active,2119,
70098447,60000268,User,90032371,,2026-03-17,2029-03-17,Active,2119,
70098448,60000268,User,90032688,,2026-03-12,2029-03-12,Active,2119,
70098449,60000268,User,90032392,,2026-04-02,2029-04-02,Active,2119,
70098450,60000268,User,90032269,,2026-03-29,2029-03-29,Active,2119,
70098451,60000268,User,90032574,,2026-03-30,2029-03-30,Active,2119,
70098452,60000268,User,90033739,,2026-03-22,2029-03-22,Active,2119,
70098453,60000268,User,90032465,,2026-03-13,2029-03-13,Active,2119,
70098454,60000268,User,90033634,,2026-03-16,2029-03-16,Active,2119,
70098455,60000268,User,90032356,,2026-03-25,2029-03-25,Active,2119,
