Classroom_ID,Room,School_ID,School_Name,District_ID,District_Name,BOCES_Region
81000001,Room 101,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000002,Room 102,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000003,Room 103,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000004,Room 104,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000005,Room 105,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000006,Room 106,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000007,Room 107,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000008,Room 108,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000009,Room 109,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000010,Room 110,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000011,Room 111,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000012,Room 112,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000013,Room 113,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000014,Room 114,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000015,Room 115,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000016,Room 116,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000017,Room 117,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000018,Room 118,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000019,Room 119,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000020,Room 120,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000021,Room 121,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000022,Room 122,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000023,Room 123,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000024,Room 124,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000025,Room 125,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000026,Room 126,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000027,Room 127,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000028,Room 128,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000029,Room 129,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000030,Room 130,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000031,Room 131,5101,Central Elementary School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000032,Room 101,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000033,Room 102,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000034,Room 103,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000035,Room 104,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000036,Room 105,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000037,Room 106,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000038,Room 107,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000039,Room 108,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000040,Room 109,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000041,Room 110,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000042,Room 111,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000043,Room 112,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000044,Room 113,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000045,Room 114,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000046,Room 115,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000047,Room 116,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000048,Room 117,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000049,Room 118,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000050,Room 119,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000051,Room 120,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000052,Room 121,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000053,Room 122,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000054,Room 123,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000055,Room 124,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000056,Room 125,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000057,Room 126,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000058,Room 127,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000059,Room 128,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000060,Room 129,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000061,Room 130,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000062,Room 131,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000063,Room 132,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000064,Room 133,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000065,Room 134,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000066,Room 135,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000067,Room 136,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000068,Room 137,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000069,Room 138,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000070,Room 139,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000071,Room 140,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000072,Room 141,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000073,Room 142,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000074,Room 143,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000075,Room 144,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000076,Room 145,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000077,Room 146,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000078,Room 147,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000079,Room 148,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000080,Room 149,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000081,Room 150,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000082,Room 151,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000083,Room 152,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000084,Room 153,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000085,Room 154,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000086,Room 155,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000087,Room 156,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000088,Room 157,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000089,Room 158,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000090,Room 159,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000091,Room 160,5102,Valley High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000092,Room 101,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000093,Room 102,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000094,Room 103,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000095,Room 104,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000096,Room 105,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000097,Room 106,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000098,Room 107,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000099,Room 108,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000100,Room 109,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000101,Room 110,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000102,Room 111,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000103,Room 112,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000104,Room 113,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000105,Room 114,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000106,Room 115,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000107,Room 116,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000108,Room 117,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000109,Room 118,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000110,Room 119,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000111,Room 120,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000112,Room 121,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000113,Room 122,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000114,Room 123,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000115,Room 124,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000116,Room 125,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000117,Room 126,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000118,Room 127,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000119,Room 128,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000120,Room 129,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000121,Room 130,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000122,Room 131,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000123,Room 132,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000124,Room 133,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000125,Room 134,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000126,Room 135,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000127,Room 136,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000128,Room 137,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000129,Room 138,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000130,Room 139,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
81000131,Room 140,5103,South High School,2101,Southern_CSD_2101,Southern Westchester BOCES
