PO_ID,PO_Number,PO_Date,Vendor_Name,Funding_Source,District_ID,District_Name,BOCES_Region
91000001,PO-396315,2021-01-18,CDW-G,E-Rate,2101,Southern_CSD_2101,Southern Westchester BOCES
91000002,PO-364497,2021-04-06,Apple Education,Grant,2101,Southern_CSD_2101,Southern Westchester BOCES
91000003,PO-112484,2021-07-25,Ingram Micro,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000004,PO-152356,2021-10-18,CDW-G,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000005,PO-719582,2022-01-07,SHI,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000006,PO-443943,2022-04-18,CDW-G,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000007,PO-204244,2022-07-11,CDW-G,E-Rate,2101,Southern_CSD_2101,Southern Westchester BOCES
91000008,PO-930310,2022-10-07,SHI,Grant,2101,Southern_CSD_2101,Southern Westchester BOCES
91000009,PO-383164,2023-01-20,CDW-G,Federal Program,2101,Southern_CSD_2101,Southern Westchester BOCES
91000010,PO-202607,2023-04-04,Apple Education,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000011,PO-897973,2023-07-21,Connection,Grant,2101,Southern_CSD_2101,Southern Westchester BOCES
91000012,PO-446087,2023-10-06,CDW-G,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000013,PO-194284,2024-01-20,SHI,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000014,PO-200642,2024-04-16,SHI,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000015,PO-376101,2024-07-07,Ingram Micro,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000016,PO-320569,2024-10-16,CDW-G,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000017,PO-226442,2025-01-25,CDW-G,E-Rate,2101,Southern_CSD_2101,Southern Westchester BOCES
91000018,PO-441297,2025-04-20,CDW-G,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000019,PO-990758,2025-07-08,SHI,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000020,PO-306527,2025-10-12,SHI,Grant,2101,Southern_CSD_2101,Southern Westchester BOCES
91000021,PO-622530,2021-01-02,SHI,E-Rate,2102,Southern_CSD_2102,Southern Westchester BOCES
91000022,PO-459084,2021-04-14,SHI,Federal Program,2102,Southern_CSD_2102,Southern Westchester BOCES
91000023,PO-202373,2021-07-13,CDW-G,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000024,PO-491597,2021-10-16,CDW-G,Federal Program,2102,Southern_CSD_2102,Southern Westchester BOCES
91000025,PO-318479,2022-01-02,CDW-G,Grant,2102,Southern_CSD_2102,Southern Westchester BOCES
91000026,PO-734402,2022-04-23,Ingram Micro,Grant,2102,Southern_CSD_2102,Southern Westchester BOCES
91000027,PO-568922,2022-07-06,SHI,E-Rate,2102,Southern_CSD_2102,Southern Westchester BOCES
91000028,PO-148935,2022-10-14,Connection,Federal Program,2102,Southern_CSD_2102,Southern Westchester BOCES
91000029,PO-919134,2023-01-09,SHI,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000030,PO-908505,2023-04-13,Apple Education,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000031,PO-789968,2023-07-18,CDW-G,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000032,PO-349504,2023-10-07,SHI,Grant,2102,Southern_CSD_2102,Southern Westchester BOCES
91000033,PO-308483,2024-01-17,SHI,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000034,PO-911026,2024-04-22,Connection,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000035,PO-518136,2024-07-06,CDW-G,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000036,PO-144099,2024-10-25,SHI,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000037,PO-591122,2025-01-14,CDW-G,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000038,PO-278446,2025-04-20,Connection,Federal Program,2102,Southern_CSD_2102,Southern Westchester BOCES
91000039,PO-703351,2025-07-08,Connection,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
