License_ID,Item_Class,Item_Family,Software_Name,Manufacturer,License_Type,SKU,Term_Months,Subscription_Start_Date,Subscription_End_Date,Auto_Renewal_Status,License_Status,Quantity_Purchased,Unit_Cost,Total_Cost,Department_Owner,District_ID,District_Name,BOCES_Region
60000001,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2024-08-13,2025-08-08,No,Expired,2133,12.18,25979.94,IT / Security,2101,Southern_CSD_2101,Southern Westchester BOCES
60000002,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2022-01-09,2024-12-24,Yes,Expired,265,15.24,4038.6,School IT,2101,Southern_CSD_2101,Southern Westchester BOCES
60000003,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2025-12-16,2026-12-11,Yes,Active,1673,11.01,18419.73,IT / Security,2101,Southern_CSD_2101,Southern Westchester BOCES
60000004,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2024-12-14,2027-11-29,No,Active,1,11277.46,11277.46,District IT,2101,Southern_CSD_2101,Southern Westchester BOCES
60000005,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2024-06-25,2025-06-20,Yes,Expired,398,15.91,6332.18,District IT,2101,Southern_CSD_2101,Southern Westchester BOCES
60000006,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2024-08-05,2025-07-31,Yes,Expired,1,7847.24,7847.24,District IT,2101,Southern_CSD_2101,Southern Westchester BOCES
60000007,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2024-12-17,2025-12-12,Yes,Expired,1903,22.99,43749.97,IT / Security,2102,Southern_CSD_2102,Southern Westchester BOCES
60000008,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2021-08-18,2024-08-02,Yes,Expired,207,20.96,4338.72,School IT,2102,Southern_CSD_2102,Southern Westchester BOCES
60000009,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2024-09-23,2025-09-18,Yes,Expired,1288,12.71,16370.48,IT / Security,2102,Southern_CSD_2102,Southern Westchester BOCES
60000010,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2023-04-27,2026-04-11,Yes,Active,1,5316.83,5316.83,District IT,2102,Southern_CSD_2102,Southern Westchester BOCES
60000011,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2021-02-14,2022-02-09,Yes,Expired,176,10.54,1855.04,District IT,2102,Southern_CSD_2102,Southern Westchester BOCES
60000012,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2025-07-09,2026-07-04,No,Active,1,5077.84,5077.84,District IT,2102,Southern_CSD_2102,Southern Westchester BOCES
60000013,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2024-11-20,2025-11-15,Yes,Expired,1290,10.23,13196.7,IT / Security,2103,Southern_CSD_2103,Southern Westchester BOCES
60000014,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2025-04-20,2028-04-04,Yes,Active,114,11.54,1315.56,School IT,2103,Southern_CSD_2103,Southern Westchester BOCES
60000015,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2024-06-17,2025-06-12,No,Expired,693,11.49,7962.57,IT / Security,2103,Southern_CSD_2103,Southern Westchester BOCES
60000016,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2022-08-15,2025-07-30,Yes,Expired,1,8306.2,8306.2,District IT,2103,Southern_CSD_2103,Southern Westchester BOCES
60000017,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2024-05-18,2025-05-13,No,Expired,131,18.44,2415.64,District IT,2103,Southern_CSD_2103,Southern Westchester BOCES
60000018,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2023-10-22,2024-10-16,Yes,Expired,1,3810.02,3810.02,District IT,2103,Southern_CSD_2103,Southern Westchester BOCES
60000019,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2025-02-04,2026-01-30,Yes,Active,1508,10.91,16452.28,IT / Security,2104,Southern_CSD_2104,Southern Westchester BOCES
60000020,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2021-11-09,2024-10-24,Yes,Expired,135,23.01,3106.35,School IT,2104,Southern_CSD_2104,Southern Westchester BOCES
60000021,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2025-11-03,2026-10-29,Yes,Active,819,5.3,4340.7,IT / Security,2104,Southern_CSD_2104,Southern Westchester BOCES
60000022,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2021-02-19,2024-02-04,No,Expired,1,6173.47,6173.47,District IT,2104,Southern_CSD_2104,Southern Westchester BOCES
60000023,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2022-12-07,2023-12-02,Yes,Expired,124,23.48,2911.52,District IT,2104,Southern_CSD_2104,Southern Westchester BOCES
60000024,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2023-04-05,2024-03-30,No,Expired,1,3483.04,3483.04,District IT,2104,Southern_CSD_2104,Southern Westchester BOCES
60000025,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2024-02-12,2025-02-06,Yes,Expired,902,11.85,10688.7,IT / Security,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
60000026,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2022-12-09,2025-11-23,Yes,Expired,118,9.73,1148.14,School IT,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
60000027,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2021-07-17,2022-07-12,No,Expired,714,20.97,14972.58,IT / Security,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
60000028,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2025-09-23,2028-09-07,No,Active,1,11045.8,11045.8,District IT,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
60000029,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2025-06-18,2026-06-13,Yes,Active,104,20.03,2083.12,District IT,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
60000030,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2023-04-09,2024-04-03,Yes,Expired,1,2405.3,2405.3,District IT,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
60000031,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2022-03-20,2023-03-15,Yes,Expired,1016,11.77,11958.32,IT / Security,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
60000032,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2021-05-13,2024-04-27,Yes,Expired,114,12.69,1446.66,School IT,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
60000033,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2024-01-06,2024-12-31,No,Expired,693,7.18,4975.74,IT / Security,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
60000034,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2021-10-28,2024-10-12,Yes,Expired,1,6527.33,6527.33,District IT,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
60000035,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2023-12-02,2024-11-26,Yes,Expired,136,13.66,1857.76,District IT,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
60000036,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2022-03-23,2023-03-18,Yes,Expired,1,8130.6,8130.6,District IT,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
60000037,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2024-02-16,2025-02-10,Yes,Expired,1561,17.22,26880.42,IT / Security,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
60000038,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2022-02-09,2025-01-24,Yes,Expired,142,6.54,928.68,School IT,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
60000039,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2024-09-04,2025-08-30,Yes,Expired,861,5.02,4322.22,IT / Security,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
60000040,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2025-04-10,2028-03-25,Yes,Active,1,5520.1,5520.1,District IT,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
60000041,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2023-05-14,2024-05-08,No,Expired,141,17.27,2435.07,District IT,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
60000042,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2022-05-07,2023-05-02,No,Expired,1,4201.57,4201.57,District IT,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
60000043,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2021-07-27,2022-07-22,Yes,Expired,2091,9.39,19634.49,IT / Security,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
60000044,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2024-10-22,2027-10-07,Yes,Active,207,19.52,4040.64,School IT,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
60000045,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2025-09-24,2026-09-19,Yes,Active,1288,11.2,14425.6,IT / Security,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
60000046,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2021-01-29,2024-01-14,No,Expired,1,4273.89,4273.89,District IT,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
60000047,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2021-02-24,2022-02-19,No,Expired,284,13.04,3703.36,District IT,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
60000048,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2022-10-25,2023-10-20,Yes,Expired,1,10911.24,10911.24,District IT,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
60000049,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2024-03-06,2025-03-01,Yes,Expired,2118,24.18,51213.24,IT / Security,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
60000050,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2024-11-14,2027-10-30,No,Active,142,22.51,3196.42,School IT,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
60000051,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2022-09-16,2023-09-11,Yes,Expired,861,18.23,15696.03,IT / Security,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
60000052,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2025-12-03,2028-11-17,Yes,Active,1,9709.67,9709.67,District IT,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
60000053,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2023-06-22,2024-06-16,Yes,Expired,166,23.58,3914.28,District IT,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
60000054,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2025-10-01,2026-09-26,Yes,Active,1,6705.21,6705.21,District IT,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
60000055,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2025-04-30,2026-04-25,Yes,Active,1280,8.71,11148.8,IT / Security,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
60000056,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2025-10-30,2028-10-14,Yes,Active,114,9.08,1035.12,School IT,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
60000057,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2022-01-23,2023-01-18,Yes,Expired,693,5.55,3846.15,IT / Security,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
60000058,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2024-06-10,2027-05-26,No,Active,1,10254.81,10254.81,District IT,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
60000059,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2025-02-26,2026-02-21,Yes,Active,112,22.97,2572.64,District IT,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
60000060,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2021-03-13,2022-03-08,Yes,Expired,1,6347.65,6347.65,District IT,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
60000061,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2024-12-27,2025-12-22,Yes,Expired,2401,22.46,53926.46,IT / Security,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
60000062,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2023-07-04,2026-06-18,No,Active,211,23.88,5038.68,School IT,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
60000063,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2022-05-22,2023-05-17,Yes,Expired,1309,20.97,27449.73,IT / Security,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
60000064,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2021-10-02,2024-09-16,Yes,Expired,1,2458.43,2458.43,District IT,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
60000065,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2021-11-21,2022-11-16,No,Expired,154,12.89,1985.06,District IT,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
60000066,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2021-12-06,2022-12-01,No,Expired,1,6299.88,6299.88,District IT,2111,DutchessUlster_CSD_2111,Dutchess-Ulster BOCES
60000067,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2022-05-10,2023-05-05,No,Expired,3094,4.64,14356.16,IT / Security,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
60000068,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2021-06-20,2024-06-04,Yes,Expired,330,6.1,2013.0,School IT,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
60000069,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2023-03-31,2024-03-25,Yes,Expired,2100,23.23,48783.0,IT / Security,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
60000070,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2021-12-20,2024-12-04,Yes,Expired,1,8262.84,8262.84,District IT,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
60000071,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2025-07-25,2026-07-20,Yes,Active,312,14.37,4483.44,District IT,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
60000072,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2024-01-21,2025-01-15,Yes,Expired,1,7834.96,7834.96,District IT,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
60000073,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2025-02-03,2026-01-29,Yes,Active,2291,19.12,43803.92,IT / Security,2113,Questar_CSD_2113,Questar III BOCES
60000074,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2021-02-13,2024-01-29,Yes,Expired,207,3.56,736.92,School IT,2113,Questar_CSD_2113,Questar III BOCES
60000075,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2022-02-08,2023-02-03,Yes,Expired,1288,18.87,24304.56,IT / Security,2113,Questar_CSD_2113,Questar III BOCES
60000076,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2024-02-03,2027-01-18,Yes,Active,1,8813.89,8813.89,District IT,2113,Questar_CSD_2113,Questar III BOCES
60000077,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2025-06-30,2026-06-25,No,Active,179,8.94,1600.26,District IT,2113,Questar_CSD_2113,Questar III BOCES
60000078,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2021-02-20,2022-02-15,Yes,Expired,1,3597.51,3597.51,District IT,2113,Questar_CSD_2113,Questar III BOCES
60000079,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2021-08-25,2022-08-20,Yes,Expired,1882,19.15,36040.3,IT / Security,2114,Questar_CSD_2114,Questar III BOCES
60000080,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2021-05-19,2024-05-03,Yes,Expired,146,13.05,1905.3,School IT,2114,Questar_CSD_2114,Questar III BOCES
60000081,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2024-04-12,2025-04-07,Yes,Expired,882,9.34,8237.88,IT / Security,2114,Questar_CSD_2114,Questar III BOCES
60000082,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2025-12-27,2028-12-11,No,Active,1,5840.44,5840.44,District IT,2114,Questar_CSD_2114,Questar III BOCES
60000083,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2021-09-24,2022-09-19,Yes,Expired,214,19.64,4202.96,District IT,2114,Questar_CSD_2114,Questar III BOCES
60000084,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2023-10-02,2024-09-26,Yes,Expired,1,5331.86,5331.86,District IT,2114,Questar_CSD_2114,Questar III BOCES
60000085,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2021-05-10,2022-05-05,Yes,Expired,1555,18.61,28938.55,IT / Security,2115,Questar_CSD_2115,Questar III BOCES
60000086,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2025-01-08,2027-12-24,Yes,Active,142,14.79,2100.18,School IT,2115,Questar_CSD_2115,Questar III BOCES
60000087,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2025-08-19,2026-08-14,No,Active,861,17.26,14860.86,IT / Security,2115,Questar_CSD_2115,Questar III BOCES
60000088,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2022-10-30,2025-10-14,Yes,Expired,1,2178.65,2178.65,District IT,2115,Questar_CSD_2115,Questar III BOCES
60000089,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2023-03-04,2024-02-27,Yes,Expired,202,22.24,4492.48,District IT,2115,Questar_CSD_2115,Questar III BOCES
60000090,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2025-06-22,2026-06-17,No,Active,1,10519.11,10519.11,District IT,2115,Questar_CSD_2115,Questar III BOCES
60000091,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2021-10-27,2022-10-22,Yes,Expired,762,6.63,5052.06,IT / Security,2116,Questar_CSD_2116,Questar III BOCES
60000092,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2024-08-31,2027-08-16,No,Active,100,10.01,1001.0,School IT,2116,Questar_CSD_2116,Questar III BOCES
60000093,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2024-07-20,2025-07-15,Yes,Expired,609,18.68,11376.12,IT / Security,2116,Questar_CSD_2116,Questar III BOCES
60000094,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2021-10-28,2024-10-12,Yes,Expired,1,4064.16,4064.16,District IT,2116,Questar_CSD_2116,Questar III BOCES
60000095,License,MDM,Jamf School,Jamf,Device-based,JAMF-SCH,12,2024-01-11,2025-01-05,No,Expired,94,19.74,1855.56,District IT,2116,Questar_CSD_2116,Questar III BOCES
60000096,License,Telephony,VoIP SIP Trunk,Bandwidth,Site-based,SIP-TRUNK,12,2025-05-27,2026-05-22,Yes,Active,1,3410.68,3410.68,District IT,2116,Questar_CSD_2116,Questar III BOCES
60000097,License,Productivity,Microsoft 365 A3,Microsoft,User-based,M365-A3,12,2023-05-15,2024-05-09,No,Expired,2547,21.05,53614.35,IT / Security,2117,Capital_CSD_2117,Capital Region BOCES
60000098,License,Networking,Cisco Meraki License (AP),Cisco,Device-based,MR-ENT,36,2021-06-04,2024-05-19,Yes,Expired,265,15.37,4073.05,School IT,2117,Capital_CSD_2117,Capital Region BOCES
60000099,License,Security,CrowdStrike Falcon,CrowdStrike,Device-based,CS-FALCON,12,2022-06-16,2023-06-11,Yes,Expired,1673,15.36,25697.28,IT / Security,2117,Capital_CSD_2117,Capital Region BOCES
60000100,License,Infrastructure,Veeam Backup & Replication,Veeam,Site-based,VEEAM-VUL,36,2025-08-30,2028-08-14,Yes,Active,1,8114.62,8114.62,District IT,2117,Capital_CSD_2117,Capital Region BOCES
